ID;Batch;Distance (µm);Sr:Ca_Avg
UP_11_14;Autumn-spawning;218.975;1.84304086931634
SH_29;Spring-spawning;229.32;2.10887044190646
SH_27;Spring-spawning;229.32;2.06727317510054
SH_26;Spring-spawning;229.32;2.65427230475008
SH_25;Spring-spawning;229.32;2.43358174112338
SH_23;Spring-spawning;229.32;2.05101354304672
SH_22;Spring-spawning;229.32;2.44105602475259
SL57;Slåttersill;229.32;2.14800414361214
SL_63;Slåttersill;229.32;2.69800989155591
SL_58;Slåttersill;229.32;2.21457203080329
SL_66;Slåttersill;229.32;2.52214414598052
SL_65;Slåttersill;229.32;2.27484482292606
SL_62;Slåttersill;229.32;2.26738417862633
